,name,salary,rating,numOfrates
175,atos,82363.1724137931,3.4551724137931044,59.86206896551724
176,atos-syntel,101497.33333333333,3.0,4.0
177,attic recruitment,31257.0,2.6666666666666665,3.0
178,attivo group,67117.0,4.333333333333333,3.0
179,audatex,36006.0,4.5,2.0
180,audi,40340.625,3.0,3.0
181,auto trader uk,70875.66666666667,4.403225806451613,62.0
182,autodesk,67690.18292682926,4.399999999999996,5.0
183,autovista group,81425.6,5.0,2.0
184,avaloq,54265.857142857145,4.0,2.0
185,avanade,68592.04901960785,3.8181818181818143,11.0
186,avast software,56925.8125,2.333333333333333,3.0
187,avaya,78540.54545454546,3.3,10.0
188,avepoint,77063.5,2.4,5.0
189,aveda,126812.0,4.0,2.0
190,avery dennison,71525.72727272728,4.0,2.0
191,avetta,96963.33333333333,4.0,2.0
192,aviva,79421.74074074074,3.8840579710144953,71.0
193,avon,31184.5,3.2352941176470584,17.0
194,awin,70684.33333333333,4.217391304347827,23.0
195,axiom global,69134.5,4.6,5.0
196,axiom software laboratories,65220.47619047619,3.333333333333334,3.0
197,axpo,94340.66666666667,3.0,2.0
198,ayming,66555.0,3.5,2.0
199,b. braun medical,76135.0,4.333333333333333,3.0
200,bae systems,64930.09756097561,3.75,16.0
201,bae systems applied intelligence,67044.65217391304,3.6326530612244894,49.0
202,bae systems uk,88423.22222222222,3.8055555555555562,36.0
203,basf,71990.73809523809,4.0,6.0
204,bbc,74507.95,3.2586206896551735,117.0
205,bbva,74428.0,3.0,2.0
206,bcd travel,70483.81818181818,3.0,2.0
207,bcg digital ventures,58891.57142857143,4.5,2.0
208,bd,75523.80612244898,3.899999999999995,10.0
209,bdo,79931.41666666667,3.6551724137931036,29.0
210,beko,23742.333333333332,4.0,2.0
211,bgc partners,72615.5,1.888888888888889,9.0
212,bgl group,70344.0,4.096774193548387,31.0
213,bjss,70676.0,3.571428571428572,14.0
214,bmc software,70004.66666666667,4.5,12.0
215,bmi research,101829.66666666667,2.0,9.0
216,bmll technologies,54206.0,4.0,2.0
217,bmo financial group,65280.75,4.5,6.0
218,bms performance,81451.0,3.25,4.0
219,bmw,66011.46153846153,3.5555555555555567,9.0
220,bmw group uk,62204.5,3.4,10.0
221,bnp paribas,63806.44927536232,4.077922077922077,79.0
222,bnp paribas real estate,78314.5,3.6666666666666665,3.0
223,bny mellon,68565.53333333334,3.5,56.0
224,bp,74789.5,3.950413223140493,121.0
225,bsi group,78550.5625,3.8857142857142857,35.0
226,bt,62705.24137931035,3.8518518518518507,216.0
227,bts,70958.0,3.0,2.0
